cycle,elapsed_s,sensor1_id,sensor1_grams,sensor2_id,sensor2_grams,total_weight_1_2,sensor1_raw_i32,sensor2_raw_i32
1,0.005192,1,0.000000,2,0.400000,0.400000,-4834,-5866
2,0.010384,1,0.000000,2,0.400000,0.400000,-4834,-5866
3,0.015498,1,0.000000,2,0.400000,0.400000,-4834,-5866
4,0.020683,1,0.000000,2,0.400000,0.400000,-4834,-5866
5,0.026034,1,0.000000,2,0.400000,0.400000,-4834,-5866
6,0.031208,1,0.000000,2,0.400000,0.400000,-4834,-5866
7,0.036247,1,0.000000,2,0.400000,0.400000,-4834,-5866
8,0.041623,1,0.000000,2,0.400000,0.400000,-4834,-5866
9,0.046756,1,0.000000,2,0.400000,0.400000,-4834,-5866
10,0.051961,1,0.000000,2,0.400000,0.400000,-4834,-5866
11,0.057147,1,0.000000,2,0.400000,0.400000,-4834,-5866
12,0.062345,1,0.000000,2,0.400000,0.400000,-4834,-5866
13,0.067625,1,0.000000,2,0.400000,0.400000,-4834,-5866
14,0.072654,1,0.000000,2,0.400000,0.400000,-4834,-5866
15,0.077842,1,0.000000,2,0.400000,0.400000,-4834,-5866
16,0.083014,1,0.000000,2,0.400000,0.400000,-4834,-5866
17,0.088265,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
18,0.093392,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
19,0.098613,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
20,0.103229,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
21,0.107819,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
22,0.112447,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
23,0.117100,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
24,0.122251,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
25,0.127513,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
26,0.133248,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
27,0.138483,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
28,0.143539,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
29,0.148185,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
30,0.153474,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
31,0.158580,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
32,0.163748,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
33,0.168920,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
34,0.174118,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
35,0.179354,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
36,0.184494,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
37,0.189683,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
38,0.194904,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
39,0.200070,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
40,0.205416,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
41,0.211067,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
42,0.216231,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
43,0.220845,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
44,0.225486,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
45,0.230079,1,-4.000000,2,3.400000,-0.600000,-4838,-5863
46,0.236258,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
47,0.241232,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
48,0.246375,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
49,0.251534,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
50,0.256835,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
51,0.261920,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
52,0.267161,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
53,0.272371,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
54,0.277504,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
55,0.282692,1,-4.000000,2,0.400000,-3.600000,-4838,-5866
56,0.287872,1,-22.000000,2,0.400000,-21.600000,-4856,-5866
57,0.293046,1,-22.000000,2,0.400000,-21.600000,-4856,-5866
58,0.298207,1,-22.000000,2,0.400000,-21.600000,-4856,-5866
59,0.303400,1,-22.000000,2,0.400000,-21.600000,-4856,-5866
60,0.308563,1,-22.000000,2,0.400000,-21.600000,-4856,-5866
61,0.313908,1,-22.000000,2,0.400000,-21.600000,-4856,-5866
62,0.319008,1,-22.000000,2,0.400000,-21.600000,-4856,-5866
63,0.324193,1,-22.000000,2,0.400000,-21.600000,-4856,-5866
64,0.329455,1,-22.000000,2,0.400000,-21.600000,-4856,-5866
65,0.334724,1,-22.000000,2,-40.600000,-62.600000,-4856,-5907
66,0.339683,1,-22.000000,2,-40.600000,-62.600000,-4856,-5907
67,0.344852,1,-22.000000,2,-40.600000,-62.600000,-4856,-5907
68,0.350201,1,-22.000000,2,-40.600000,-62.600000,-4856,-5907
69,0.355400,1,-22.000000,2,-40.600000,-62.600000,-4856,-5907
70,0.360547,1,-22.000000,2,-40.600000,-62.600000,-4856,-5907
71,0.365593,1,-22.000000,2,-40.600000,-62.600000,-4856,-5907
72,0.370784,1,-22.000000,2,-40.600000,-62.600000,-4856,-5907
73,0.375947,1,-22.000000,2,-40.600000,-62.600000,-4856,-5907
74,0.381232,1,-22.000000,2,-40.600000,-62.600000,-4856,-5907
75,0.385909,1,-81.000000,2,-40.600000,-121.600000,-4915,-5907
76,0.391505,1,-81.000000,2,-40.600000,-121.600000,-4915,-5907
77,0.396710,1,-81.000000,2,-40.600000,-121.600000,-4915,-5907
78,0.401871,1,-81.000000,2,-40.600000,-121.600000,-4915,-5907
79,0.407023,1,-81.000000,2,-40.600000,-121.600000,-4915,-5907
80,0.412277,1,-81.000000,2,-40.600000,-121.600000,-4915,-5907
81,0.417551,1,-81.000000,2,-40.600000,-121.600000,-4915,-5907
82,0.422688,1,-81.000000,2,-40.600000,-121.600000,-4915,-5907
83,0.427822,1,-81.000000,2,-40.600000,-121.600000,-4915,-5907
84,0.433691,1,-81.000000,2,-51.600000,-132.600000,-4915,-5918
85,0.438871,1,-81.000000,2,-51.600000,-132.600000,-4915,-5918
86,0.444461,1,-81.000000,2,-51.600000,-132.600000,-4915,-5918
87,0.449757,1,-81.000000,2,-51.600000,-132.600000,-4915,-5918
88,0.454823,1,-81.000000,2,-51.600000,-132.600000,-4915,-5918
89,0.460161,1,-81.000000,2,-51.600000,-132.600000,-4915,-5918
90,0.465207,1,-81.000000,2,-51.600000,-132.600000,-4915,-5918
91,0.470370,1,-81.000000,2,-51.600000,-132.600000,-4915,-5918
92,0.475621,1,-81.000000,2,-51.600000,-132.600000,-4915,-5918
93,0.480831,1,-81.000000,2,-51.600000,-132.600000,-4915,-5918
94,0.485972,1,-368.000000,2,-51.600000,-419.600000,-5202,-5918
95,0.491121,1,-368.000000,2,-51.600000,-419.600000,-5202,-5918
96,0.496412,1,-368.000000,2,-51.600000,-419.600000,-5202,-5918
97,0.501473,1,-368.000000,2,-51.600000,-419.600000,-5202,-5918
98,0.506707,1,-368.000000,2,-51.600000,-419.600000,-5202,-5918
99,0.511870,1,-368.000000,2,-51.600000,-419.600000,-5202,-5918
100,0.517074,1,-368.000000,2,-51.600000,-419.600000,-5202,-5918
101,0.522507,1,-368.000000,2,-51.600000,-419.600000,-5202,-5918
102,0.528003,1,-368.000000,2,-51.600000,-419.600000,-5202,-5918
103,0.533349,1,-368.000000,2,-10.600000,-378.600000,-5202,-5877
104,0.599097,1,-999.000000,2,-10.600000,-1009.600000,-5833,-5877
105,0.661407,1,-999.000000,2,19.400000,-979.600000,-5833,-5847
106,0.666761,1,-999.000000,2,19.400000,-979.600000,-5833,-5847
107,0.671797,1,-999.000000,2,19.400000,-979.600000,-5833,-5847
108,0.677115,1,-999.000000,2,19.400000,-979.600000,-5833,-5847
109,0.682158,1,-1596.000000,2,19.400000,-1576.600000,-6430,-5847
110,0.686793,1,-1596.000000,2,19.400000,-1576.600000,-6430,-5847
111,0.692110,1,-1596.000000,2,19.400000,-1576.600000,-6430,-5847
112,0.697281,1,-1596.000000,2,19.400000,-1576.600000,-6430,-5847
113,0.702343,1,-1596.000000,2,19.400000,-1576.600000,-6430,-5847
114,0.706952,1,-1596.000000,2,19.400000,-1576.600000,-6430,-5847
115,0.712118,1,-1596.000000,2,19.400000,-1576.600000,-6430,-5847
116,0.717507,1,-1596.000000,2,19.400000,-1576.600000,-6430,-5847
117,0.722646,1,-1596.000000,2,19.400000,-1576.600000,-6430,-5847
118,0.729707,1,-1596.000000,2,24.400000,-1571.600000,-6430,-5842
119,0.735144,1,-1596.000000,2,24.400000,-1571.600000,-6430,-5842
120,0.740394,1,-1596.000000,2,24.400000,-1571.600000,-6430,-5842
121,0.745460,1,-1596.000000,2,24.400000,-1571.600000,-6430,-5842
122,0.750662,1,-1596.000000,2,24.400000,-1571.600000,-6430,-5842
123,0.755830,1,-1596.000000,2,24.400000,-1571.600000,-6430,-5842
124,0.761008,1,-1596.000000,2,24.400000,-1571.600000,-6430,-5842
125,0.766309,1,-1596.000000,2,24.400000,-1571.600000,-6430,-5842
126,0.771362,1,-1596.000000,2,24.400000,-1571.600000,-6430,-5842
127,0.776540,1,-1596.000000,2,24.400000,-1571.600000,-6430,-5842
128,0.781152,1,-1990.000000,2,24.400000,-1965.600000,-6824,-5842
129,0.786352,1,-1990.000000,2,24.400000,-1965.600000,-6824,-5842
130,0.791629,1,-1990.000000,2,24.400000,-1965.600000,-6824,-5842
131,0.796669,1,-1990.000000,2,24.400000,-1965.600000,-6824,-5842
132,0.802017,1,-1990.000000,2,24.400000,-1965.600000,-6824,-5842
133,0.807052,1,-1990.000000,2,24.400000,-1965.600000,-6824,-5842
134,0.812244,1,-1990.000000,2,24.400000,-1965.600000,-6824,-5842
135,0.817540,1,-1990.000000,2,24.400000,-1965.600000,-6824,-5842
136,0.822709,1,-1990.000000,2,24.400000,-1965.600000,-6824,-5842
137,0.828530,1,-1990.000000,2,-1.600000,-1991.600000,-6824,-5868
138,0.833521,1,-1990.000000,2,-1.600000,-1991.600000,-6824,-5868
139,0.838821,1,-1990.000000,2,-1.600000,-1991.600000,-6824,-5868
140,0.843884,1,-1990.000000,2,-1.600000,-1991.600000,-6824,-5868
141,0.849142,1,-1990.000000,2,-1.600000,-1991.600000,-6824,-5868
142,0.854388,1,-1990.000000,2,-1.600000,-1991.600000,-6824,-5868
143,0.860032,1,-1990.000000,2,-1.600000,-1991.600000,-6824,-5868
144,0.865002,1,-1990.000000,2,-1.600000,-1991.600000,-6824,-5868
145,0.870423,1,-1990.000000,2,-1.600000,-1991.600000,-6824,-5868
146,0.875615,1,-1990.000000,2,-1.600000,-1991.600000,-6824,-5868
147,0.880834,1,-2307.000000,2,-1.600000,-2308.600000,-7141,-5868
148,0.885975,1,-2307.000000,2,-1.600000,-2308.600000,-7141,-5868
149,0.890602,1,-2307.000000,2,-1.600000,-2308.600000,-7141,-5868
150,0.895242,1,-2307.000000,2,-1.600000,-2308.600000,-7141,-5868
151,0.899819,1,-2307.000000,2,-1.600000,-2308.600000,-7141,-5868
152,0.904440,1,-2307.000000,2,-1.600000,-2308.600000,-7141,-5868
153,0.909225,1,-2307.000000,2,-1.600000,-2308.600000,-7141,-5868
154,0.914383,1,-2307.000000,2,-1.600000,-2308.600000,-7141,-5868
155,0.920052,1,-2307.000000,2,-1.600000,-2308.600000,-7141,-5868
156,0.924714,1,-2307.000000,2,-1.600000,-2308.600000,-7141,-5868
157,0.929434,1,-2307.000000,2,-27.600000,-2334.600000,-7141,-5894
158,0.935064,1,-2307.000000,2,-27.600000,-2334.600000,-7141,-5894
159,0.940101,1,-2307.000000,2,-27.600000,-2334.600000,-7141,-5894
160,0.945347,1,-2307.000000,2,-27.600000,-2334.600000,-7141,-5894
161,0.950590,1,-2307.000000,2,-27.600000,-2334.600000,-7141,-5894
162,0.955650,1,-2307.000000,2,-27.600000,-2334.600000,-7141,-5894
163,0.960786,1,-2307.000000,2,-27.600000,-2334.600000,-7141,-5894
164,0.966074,1,-2307.000000,2,-27.600000,-2334.600000,-7141,-5894
165,0.971208,1,-2307.000000,2,-27.600000,-2334.600000,-7141,-5894
166,0.976402,1,-2307.000000,2,-27.600000,-2334.600000,-7141,-5894
167,0.981736,1,-2448.000000,2,-27.600000,-2475.600000,-7282,-5894
168,0.986674,1,-2448.000000,2,-27.600000,-2475.600000,-7282,-5894
169,0.991903,1,-2448.000000,2,-27.600000,-2475.600000,-7282,-5894
170,0.997190,1,-2448.000000,2,-27.600000,-2475.600000,-7282,-5894
171,1.002355,1,-2448.000000,2,-27.600000,-2475.600000,-7282,-5894
172,1.007914,1,-2448.000000,2,-27.600000,-2475.600000,-7282,-5894
173,1.013763,1,-2448.000000,2,-27.600000,-2475.600000,-7282,-5894
174,1.019093,1,-2448.000000,2,-27.600000,-2475.600000,-7282,-5894
175,1.023991,1,-2448.000000,2,-27.600000,-2475.600000,-7282,-5894
176,1.029253,1,-2448.000000,2,-49.600000,-2497.600000,-7282,-5916
177,1.034557,1,-2448.000000,2,-49.600000,-2497.600000,-7282,-5916
178,1.039510,1,-2448.000000,2,-49.600000,-2497.600000,-7282,-5916
179,1.044655,1,-2448.000000,2,-49.600000,-2497.600000,-7282,-5916
180,1.049898,1,-2448.000000,2,-49.600000,-2497.600000,-7282,-5916
181,1.055082,1,-2448.000000,2,-49.600000,-2497.600000,-7282,-5916
182,1.060738,1,-2448.000000,2,-49.600000,-2497.600000,-7282,-5916
183,1.065934,1,-2448.000000,2,-49.600000,-2497.600000,-7282,-5916
184,1.071880,1,-2448.000000,2,-49.600000,-2497.600000,-7282,-5916
185,1.078575,1,-2184.000000,2,-49.600000,-2233.600000,-7018,-5916
186,1.084503,1,-2184.000000,2,-49.600000,-2233.600000,-7018,-5916
187,1.089492,1,-2184.000000,2,-49.600000,-2233.600000,-7018,-5916
188,1.094683,1,-2184.000000,2,-49.600000,-2233.600000,-7018,-5916
189,1.099849,1,-2184.000000,2,-49.600000,-2233.600000,-7018,-5916
190,1.105020,1,-2184.000000,2,-49.600000,-2233.600000,-7018,-5916
191,1.110335,1,-2184.000000,2,-49.600000,-2233.600000,-7018,-5916
192,1.115385,1,-2184.000000,2,-49.600000,-2233.600000,-7018,-5916
193,1.120624,1,-2184.000000,2,-49.600000,-2233.600000,-7018,-5916
194,1.126013,1,-2184.000000,2,-58.600000,-2242.600000,-7018,-5925
195,1.131047,1,-2184.000000,2,-58.600000,-2242.600000,-7018,-5925
